PROC_NAME,PRCS_OWNER,USER_COUNT,RUN_COUNT,AVG_RUN_TIME
SJUT046 [SQR-R],SJSU,1,67,14.6
CSU_APDB_30 [AE],CSU,2,60,11.7
SFRVRGRP [SQR-R],PS,2,3,11.3
CSU_CM_GET [AE],CSU,2,11,12.3
CSUBB02B [SQR-R],CSU,4,6,14.3
CSUHR030 [SQR-R],CSU,1,7,575.4
CSU_APDEL_AE [AE],CSU,1,19,15.4
CSULCD41 [SQR-R],CSU,1,2,14.5
SJSR048 [SQR-P],SJSU,1,2,15
SJSR066 [SQR-R],SJSU,1,2,14.5
CSU_EO_T_STG [AE],CSU,1,1,13
CSUSF012 [SQR-R],CSU,1,1,31
HR_PER502 [AE],PS,1,2,1337.5
CSUAD024 [SQR-R],CSU,1,2,549
SJUT072 [SQR-P],SJSU,2,172,35.9
XRFPCFL [SQR-R],PS,1,1,54
HRS_JSCH_IDX [AE],PS,1,258,111.4
SJUT028 [SQR-P],SJSU,1,258,459.8
SFPBCALC [CBL],PS,3,731,755.8
DYNROLE_PUBL [AE],PS,2,3013,261.4
FAPBDGTM [CBL],PS,1,52,742
EOP_PUBLISHA [AE],PS,2,265,58.2
SFPPLNCL [CBL],PS,1,354,13.1
DLOUT [JOB],PS,3,520,66.5
SJAP018 [SQR-R],SJSU,3,44,12.9
CODIN [JOB],PS,4,1166,73.1
SJUT055 [SQR-P],SJSU,1,52,137.6
SRPCWAIT [CBL],PS,1,222,200.5
SJLCD001 [SQR-R],SJSU,28,96,72.6
PORTAL_INDEX [AE],PS,1,50,641.4
PORTAL_CSS [AE],PS,2,120,402.8
SJGP001 [SQR-R],SJSU,49,553,19.6
SJHR024 [SQR-R],SJSU,3,95,30.1
BEN100A [SQR-R],PS,2,15,397.7
SJAD013 [SQR-R],SJSU,7,145,21.3
BN_HIPAA5010 [AE],PS,2,14,77.9
SJHR029 [SQR-R],SJSU,2,36,36.1
SAA_ADB_PURG [AE],PS,1,5,12.8
CSU_ESP_EXT [AE],CSU,1,9,95.4
SJSF001 [SQR-R],SJSU,1,9,18
SJCC018 [SQR-P],SJSU,4,69,12.9
CSU_EOPST_AE [AE],CSU,1,1,13
SRPCAAPR [CBL],PS,2,2,45
CSUFGRA2 [JOB],CSU,2,2,67.5
SJPER016 [SQR-R],SJSU,2,6,46.7
SJCO017 [SQR-R],SJSU,1,5,23
CSU_CM_SCHED [AE],CSU,3,25,733.4
CSUTL018 [SQR-R],CSU,1,37,183.8
CSU_CM_POST [AE],CSU,3,33,94.3
CSU_WL_SR013 [AE],CSU,2,199,46.4
SJUT038 [SQR-R],SJSU,1,8,127.4
CSUAD020_AE [AE],CSU,1,3,12.3
SRNSLCEX [SQR-R],PS,1,13,554.5
SJPER017 [SQR-R],SJSU,2,5,18
SRDBTBLS [SQR-R],PS,1,3,8
SJSF097 [SQR-R],SJSU,1,1,45
TRN022 [SQR-R],PS,1,1,60
SJSR017 [SQR-R],SJSU,2,7,78.7
CSUFA025 [SQR-R],CSU,1,10,16.6
3CRYSTAL [JOB],PS,1,1,45
BAS702A [SQR-R],PS,1,1,17
SJSF082 [SQR-R],SJSU,2,3,1271.3
